Title;Author
Scotland's Unsolved Mysteries of the Twentieth Century;Richard Wilson
The Man Who Loved Books Too Much: The True Story of a Thief, a Detective, and a World of Literary Obsession;Allison Hoover Bartlett
Deep Simplicity: Bringing Order to Chaos and Complexity;John Gribbin
The Big Questions: How Philosophy Can Change Your Life;Lou Marinoff, Ph.D.
Nerve: Adventures in the Science of Fear;Eva Holland
Voluntary Simplicity: Second Edition;Duane Elgin
The Language God Talks: On Science and Religion;Herman Wouk
Stitches: A Handbook on Meaning, Hope, and Repair;Anne Lamont
The Cloud of Unknowing & the Book of Privy Counseling;William Johnston (ed.)
The Souls of Black Folk;W.E.B. Du Bois
STFU: The Power of Keeping Your Mouth Shut in an Endlessly Noisy World;Dan Lions
Otherhood: Modern Women Finding a New Kind of Happiness;Melanie Notkin
Language Myths;Laurie Bauer & Peter Trudgill (ed.)
Aristotle and an Aardvark go to Washington: Understanding Political Doublespeak Through Philosophy and Jokes;Thomas Cathcart and Daniel Klein
Et Tu, Brute? The Best Latin Lines Ever;Harry Mount and John David
Curious Encounters with the Natural World from Grumpy Spiders to Hidden Tigers;Michael R. Jeff and Susan L. Post
The Genius of Birds;Jennifer Ackerman
In the Land of Invisible Women;Qanta A. Ahmed, MD
Kill Shot: A Shadow Industry, A Deadly Disease;Jason Dearen
Navajo and Hopi Art in Arizona: Continuing Traditions;Rory O'Neill Schmitt
The Lost Cyclist;David V. Herlihy
Why Literature is Bad for You;Peter Thorpe
Dreyer's English: An Utterly Correct Guide to Clarity and Style;Benjamin Dreyer
Decadent Society: How We Became the Victims of Our Own Success;Ross Douthat
The Kurds: A People in Search of their Homeland;Kevin McKiernan
Pride and Prejudice;Jane Austen
Jane Eyre;Charlotte Bronte
A Separate Peace;John Knowles
The Fellowship of the Ring;J.R.R. Tolkien
The Two Towers;J.R.R. Tolkien
The Return of the Kind;J.R.R. Tolkien
The Book Thief;Markus Zusak
The Wind in the Willows;Kenneth Grahame
The Wheel on the School;Meindert DeJong
Dracula;Bram Stoker
Til We Have Faces;C.S. Lewis
The Giver;Lois Lowry
To Kill a Mockingbird;Harper Lee
Brown Girl Dreaming;Jacqueline Woodson
Britt-Marie Was Here;Fredrik Backman
The Girl With All the Gifts;M.R. Carey
The Boy on the Bridge;M.R. Carey
It;Stephen King
11-22-63;Stephen King
Dominion;Tom Holland
The Magic School Bus on the Ocean Floor;Joanna Cole
The Long Loneliness;Dorthy Day
Autism in Heels;Jennifer Cooke O'Toole
Italian Short Stories for Beginners;Talk in Italian
Under the Dome;Stephen King
You are More than You've Been Told;Hosanna Wong
Asperger's Children;Edith Sheffler
The Secrets of Wishtide;Kate Saunders
Finding Me;Viola Davis
FantasticLand;Mike Bockoven
The Remains of the Day;Kazuo Ishiguro
The Man Who Died Twice;Richard Osman
Olive Kitteridge;Elizabeth Strout
This Boy We Made;Taylor Harris
Strangers on a Train;Patricia Highsmith
The Thursday Murder Club;Richard Osman
The Silmarillion;J.R.R. Tolkien
The Eye of the World;Robert Jordan
Dolly Parton, Songteller;Dolly Parton
Beginner's Mind;Yo-Yo Ma
The Art of War;Sun Tzu
Man's Search for Meaning;Viktor E. Rankl
The High Mountains of Portugal;Yann Martel
The Vanishing Half;Brit Bennett
Anxious People;Fredrik Backman
The Woman in White;Wilkie Collins
The Body Keeps the Score;Bessel A. van der Kolk
Break Shot: My First 21 Years;James Taylor
Daisy Jones & The Six;Taylor Jenkins Reid
The Woman Who Smashed Codes;Jason Fagone
The Mists of Avalon;Barion Zimmer Bradley
Changeling;Molly Harper
'Salem's Lot;Stephen King
Bolivar;Marie Arana
Girl Waits with Gun;Amy Stewart
Ender's Game;Orson Scott Card
The Martian;Andy Weir
The Hidden Life of Trees;Peter Wohlleben
The Hobbit;J.R.R. Tolkien
Pride and Prejudice and Zombies;Seth Grahame-Smith and Jane Austen
The Handmaid's Tale;Margaret Atwood
All the Light We Cannot See;Anthony Doerr
